txn_date,value_date,narration,chq_ref_no,withdrawal_amt,deposit_amt,closing_balance
03/01/2026,03/01/2026,NEFT CR-HDFC0000060-RAZORPAY SOFTWARE PVT LTD-HDFCN26010300001,HDFCN26010300001,,25025.08,1679612.43
04/01/2026,04/01/2026,NEFT DR-SHREE PACKAGING LLP-INV/SP/2026/0418,0,148600.00,,1531012.43
05/01/2026,05/01/2026,POS SETTLEMENT CR-PINELABS TID PL40218881-STORE COUNTER,PL40218881,,68420.50,1599432.93
06/01/2026,06/01/2026,NEFT CR-HDFC0000060-RAZORPAY SOFTWARE PVT LTD-HDFCN26010600002,HDFCN26010600002,,25558.39,1624991.32
08/01/2026,08/01/2026,NACH DR-LUMEA SALARY BATCH JAN26-NPCI,0,486500.00,,1138491.32
09/01/2026,09/01/2026,NEFT CR-BLINKIT MARKETPLACE-BLI/SETL/260109,BLI/SETL/260109,,144248.83,1282740.15
11/01/2026,11/01/2026,NEFT CR-HDFC0000060-RAZORPAY SOFTWARE PVT LTD-HDFCN26011000003,HDFCN26011000003,,53267.67,1336007.82
11/01/2026,11/01/2026,RTGS DR-VARDHMAN ESTATES-RENT JAN 2026,0,92000.00,,1244007.82
12/01/2026,12/01/2026,CHARGES-NEFT OUTWARD JAN26 INCL GST,0,413.00,,1243594.82
13/01/2026,13/01/2026,NEFT DR-INDORE MUNICIPAL CORP-TRADE LICENCE,0,12500.00,,1231094.82
14/01/2026,14/01/2026,NEFT CR-HDFC0000060-RAZORPAY SOFTWARE PVT LTD-HDFCN26011400004,HDFCN26011400004,,27931.17,1259025.99
15/01/2026,15/01/2026,NEFT CR-HDFC0000060-SALON HUB RETAIL PVT LTD-INV-B2B-0141,INV-B2B-0141,,68400.00,1327425.99
16/01/2026,16/01/2026,POS SETTLEMENT CR-PINELABS TID PL40218892-STORE COUNTER,PL40218892,,51290.00,1378715.99
17/01/2026,17/01/2026,NEFT DR-AROMA NATURALS PVT LTD-INV/AN/8871,0,274300.00,,1104415.99
18/01/2026,18/01/2026,NEFT CR-HDFC0000060-RAZORPAY SOFTWARE PVT LTD-HDFCN26011800005-PART 1/2,HDFCN26011800005,,10402.42,1114818.41
