voucher_date,voucher_type,voucher_number,ledger_name,party_ledger_name,debit,credit,narration,reference_number,cost_centre,gstin,voucher_guid
2025-12-26,Sales,SAL/2025-26/00063,Sales,,,"68,400.00",Sales order INV-B2B-0141,INV-B2B-0141,B2B,,guid_TgvSKoABz2l45rj2m7PI
2026-01-02,Sales,SAL/2025-26/00001,Sales,,,"1,382.99",Sales order order_avMfzrEyZkT5QM,order_avMfzrEyZkT5QM,Own Store,,guid_vF15EeYQXAO4Bj7RcamK
2026-01-02,Sales,SAL/2025-26/00002,Sales,,,"3,618.00",Sales order order_eFTLHh2OK3TtLU,order_eFTLHh2OK3TtLU,Own Store,,guid_JuSoAMNdMnGbG5sWim90
2026-01-02,Sales,SAL/2025-26/00003,Sales,,,"20,163.00",Sales order order_A3PPphEb8EVXwt,order_A3PPphEb8EVXwt,Own Store,,guid_0HlGOBD4nVljmZnofS2J
2026-01-03,Journal,JNL/2025-26/00001,Bank Charges,RAZORPAY,96.40,,"MDR, GST and TDS 194-O on setl_HRSXpatxfVb1gq",HDFCN26010300001,Own Store,,guid_KOG2Ncwm9qu2sLq6s1Q5
2026-01-03,Journal,JNL/2025-26/00001,GST Input,RAZORPAY,17.35,,"MDR, GST and TDS 194-O on setl_HRSXpatxfVb1gq",HDFCN26010300001,Own Store,,guid_ENDyISqnwZ4KenMJysGN
2026-01-03,Journal,JNL/2025-26/00001,TDS Receivable,RAZORPAY,25.16,,"MDR, GST and TDS 194-O on setl_HRSXpatxfVb1gq",HDFCN26010300001,Own Store,,guid_h9G6n5UDBXmvJi3cFo7X
2026-01-03,Receipt,RCP/2025-26/00001,HDFC Bank 4471,RAZORPAY,"25,025.08",,Settlement setl_HRSXpatxfVb1gq / 3 orders / UTR HDFCN26010300001,HDFCN26010300001,Own Store,,guid_ig5ewYUee35gfEdtDyen
2026-01-04,Payment,PAY/2025-26/00001,Packing Material,SHREE PACKAGING LLP,"1,48,600.00",,NEFT DR-SHREE PACKAGING LLP-INV/SP/2026/0418,,,,guid_2l0EZyN2vS9OR8yICHlI
2026-01-05,Receipt,RCP/2025-26/00028,HDFC Bank 4471,PINELABS,"68,420.50",,POS counter settlement TID PL40218881,PL40218881,Retail Counter,,guid_9AcL9Ke5X6pFNdHVKvno
